Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
REPUBLIC OF UZBEKISTAN,"""Youth Union""",“Kamolot”,"""Kamalak""","""Youth Wing""","""Youth Union"""
When was the Action Strategy of the Republic of Uzbekistan adopted?,February 2017,February 2018,February 2016,February 2019,February 2017
At what age can a citizen of the Republic of Uzbekistan be elected as a deputy of the Oliy Majlis?,From 25 years old,From 30 years old,From 35 years old,From 21 years old,From 25 years old
Which countries competed for the territory of Turkestan in the late 19th and early 20th centuries?,Russia and England,Russia and China,Russia and Afghanistan,Russia and India,Russia and England
Are the works done to preserve and perpetuate the memory of Jaloliddin Manguberdi during the years of independence not in line with reality?,A monument was erected in Tashkent,The Order of Jaloliddin Manguberdi was approved,"In 1999, the 800th anniversary of the great commander was celebrated",A monument to Jaloliddin Manguberdi was erected,A monument was erected in Tashkent
"Complete the sentence: ""From a strong state - ...""","""towards a strong civil society""",“Towards a strong state and a civil legal society”;,"""towards a strong society and the market;",“Towards a strong state and the people”;,"""towards a strong civil society"""
"According to the Constitution of the Republic of Uzbekistan, who can act on behalf of the people of Uzbekistan?",President and Oliy Majlis,President and Cabinet of Ministers,Cabinet of Ministers and Oliy Majlis,Oliy Majlis,President and Oliy Majlis
The only source of state power in Uzbekistan is...,People,Cabinet of Ministers,Senate,Oliy Majlis,People
"In the Republic of Uzbekistan, all .... (complete the sentence)",Have the right to profess any religion or not to profess any religion,are obliged to profess any religion,have the right to profess only the religion permitted by the state,are obliged to be an atheist,Have the right to profess any religion or not to profess any religion
"Which of the reforms listed in the five principles of the ""Uzbek model"" shows the essence of an evolutionary nature?",Gradual transition to market relations;,The state as the main reformer and a gradual transition to market relations;,Gradual transition to market relations and the primacy of the role of the state as the main reformer;,Achieving the rule of law in all aspects of public life;,Gradual transition to market relations;
A referendum is...,A nationwide vote to resolve an important issue in the life of the state and society;,Popular elections to local representative bodies;,Adoption of state programs by nationwide vote;,Resolving issues of state foreign policy by nationwide vote;,A nationwide vote to resolve an important issue in the life of the state and society;
Which of the following rights are included in personal rights and freedoms?,right to life and personal integrity,"right to work, property and free choice of occupation;","right to participate in political processes, in the management of public and state affairs;",Participation in rallies,right to life and personal integrity
A voluntary political organization that represents the interests of certain social groups or strata and strives for power is...,Political party,Social movement,President and Oliy Majlis,Political association,Political party
Local self-government bodies ...,Citizens' assemblies elect the chairman (aksakol) and his advisers for a five-year term.,Elect the governor for a five-year term,Elect the ministers and the president for a five-year term,Appointed by the governor for a five-year term,Citizens' assemblies elect the chairman (aksakol) and his advisers for a five-year term.
When was the Khiva Khanate conquered by the Russian Empire?,In 1873,In 1875,In 1880,In 1849,In 1873
In what year was Samarkand declared the capital of the Timurid state?,In 1370,In 1379,In 1372,In 1365,In 1370
What does Article 1 of the new Constitution of the Republic of Uzbekistan say?,"Uzbekistan is a sovereign, democratic, legal, social and secular state.","Uzbekistan is an economic, democratic, political and secular state in accordance with the laws.","Uzbekistan is a social, democratic, political-economic and secular state.","Uzbekistan is a democratic, political, religious, social and sovereign state.","Uzbekistan is a sovereign, democratic, legal, social and secular state."
"According to the new Constitution, what is the total number of senators and the number of senators appointed by the President?",65 and 9 respectively,69 and 12 respectively,84 and 16 respectively,70 and 15 respectively,65 and 9 respectively
In what year was the New Uzbekistan Development Strategy for 2022-2026 adopted?,In 2022,In 2023,In 2017,In 2018,In 2022
"In which direction of the ""Uzbekistan 2030"" strategy are the goals set for realizing the potential of every person?",In the first direction,In the fifth direction,In the second direction,In the third direction,In the first direction
In which priority area of ​​the “Uzbekistan 2030” strategy are the issues of the rule of law reflected?,In the fourth area,In the third area,In the fifth area,In the first area,In the fourth area
How many priority areas does the Uzbekistan 2030 Strategy consist of ?,Consists of 5 priority areas,Consists of 4 priority areas,Consists of 7 priority areas,Consists of 6 priority areas,Consists of 5 priority areas
"When was the Presidential Decree on the Strategy ""Uzbekistan - 2030"" adopted?","September 11, 2023","September 23, 2022","August 12, 2024","September 10, 2021","September 11, 2023"
Where did the largest uprising against Russian colonialism take place in Turkestan in 1916?,Jizzakh Uprising,Tashkent Uprising,Bukhara Uprising,Samarkand Uprising,Jizzakh Uprising
What period in the history of Central Asia is the 9th-12th centuries?,First Renaissance,Second Renaissance,Third Renaissance,The Age of Jadids and Enlightenment,First Renaissance
"Until what century did the Great Silk Road, which played a huge role in the historical and cultural ties between the East and the West, exist?",Until the 16th century,Until the 18th century,Until the 19th century,Until the 20th century,Until the 16th century
What symbol does the hummingbird represent...?,Symbol of happiness and wealth,"Symbol of happiness, victory and power",Symbol of happiness and fertility,Symbol of power and victory,Symbol of happiness and wealth
"What does the word ""Islam"" mean?",Submission,Belief,Faith,Awareness,Submission
What are the years of Prophet Muhammad's (pbuh) life?,570-632 years,632-694 years,470-529 years,575-634 years,570-632 years
When did the first Hijri year begin in the Muslim world?,622 AD,640 AD,630 AD,625 AD,622 AD
Who was the leader of the largest uprising against the Arabs that began in Central Asia in the 70s and 80s of the 8th century?,Muqanna,Mahmud Torabi,Rafa ibn Layth,Mazdak,Muqanna
"Identify the great hadith collector, author of the work ""Al-Jame as-Sahih""?",Imam Al-Bukhari,Imam at-Tirmidhi,Ahmad Yassavi,Bahovuddin Naqshband,Imam Al-Bukhari
Identify the first Uzbek general who showed courage in the fight against fascism?,Sobir Rakhimov,Sharof Rashidov,Zebo G'aniyeva,Fayzulla Khojayev,Sobir Rakhimov
"What historical document was adopted on August 31, 1991?",Law “On the Fundamentals of State Independence of the Republic of Uzbekistan”,Law “On the Adoption of the Constitution of the Republic of Uzbekistan”,Law “On the Establishment of the Oliy Majlis of the Republic of Uzbekistan”,Law “On the Adoption of the Declaration of Sovereignty of the Republic of Uzbekistan”.,Law “On the Fundamentals of State Independence of the Republic of Uzbekistan”
When was the Concept for the Development of the Higher Education System of the Republic of Uzbekistan until 2030 approved?,"October 8, 2019","May 29, 1997","October 25, 2021","April 30, 2023","October 8, 2019"
How many religious denominations operate in Uzbekistan?,16,18,20,19,16
"This is a unique educational center for our society, a unique place that unites citizens ideologically and ideologically -?",neighborhood,constitution,university,Party,neighborhood
What international charitable foundation was established in January 1996 under the Republican Center for Spirituality and Enlightenment?,Golden Heritage,Red Crescent,You are not alone,Navruz,Golden Heritage
When was the Imam Bukhari International Foundation established?,1998,2005,2024,1990,1998
"When did the ""perestroika"" policy begin?",1985,1982,1988,1981,1985
"In which country has the ""neighborhood seven system"" been introduced?",Uzbekistan,Russia,Spain,England,Uzbekistan
When was Shavkat Mirziyoyev first elected President of Uzbekistan?,"December 4, 2016","January 1, 2017","December 8, 2015","September 1, 2017","December 4, 2016"
How many articles does the Declaration of Independence of the Republic of Uzbekistan contain?,12 articles,128 articles,17 articles,36 articles,12 articles
What is the publication of the Liberal Democratic Party of Uzbekistan?,XXI asr newspaper,“O’zbekiston ovozi” newspaper,“Muloqot” magazine,“Tafakkur” magazine,XXI asr newspaper
When was the Ecological Party of Uzbekistan founded?,January 2019,May 2013,March 2001,December 1997,January 2019
"What is the purpose of studying the subject ""The most recent history of Uzbekistan""?",to teach students about the history of Uzbekistan during the period of independence and its current reforms,to teach students about the history of the Soviet period and the reforms before independence,to teach students about the history of the 20th century Soviet period and the history of modern Uzbekistan,to teach students about the history of the 20th century Soviet period and the historical processes in modern Uzbekistan.,to teach students about the history of Uzbekistan during the period of independence and its current reforms
"When was Afrosiab, one of the oldest cities in Uzbekistan, founded?",8th–7th centuries BC,6th–5th centuries BC,6th–4th centuries BC,4th–2nd centuries BC,8th–7th centuries BC
"Who were the investigators sent from the Center to Uzbekistan in the 1980s to investigate the ""Cotton Case""?",Gdlyan and Ivanov,Morozov and Sorokin,Ivanov and Kisilyov,Vladimirov and Kochnyov,Gdlyan and Ivanov
"When was the Law ""On the State Flag of the Republic of Uzbekistan"" adopted?","November 18, 1991","June 20, 1991","June 20, 1990","December 29, 1991","November 18, 1991"
When was the idea of ​​developing a draft of the first Constitution of Uzbekistan first put forward?,June 1990,March 1991,March 1992,August 1993,June 1990
When was presidential rule introduced in Uzbekistan?,"March 24, 1990","May 20, 1991","June 25, 1991","April 24, 1991","March 24, 1990"
When was the first presidential election in the history of the independent Republic of Uzbekistan held?,"December 29, 1991","March 24, 1990","August 31, 1991","March 2, 1992","December 29, 1991"
How many countries does the Republic of Uzbekistan border?,5 countries,4 countries,6 countries,7 countries,5 countries
When was the first national referendum on the independence of Uzbekistan held?,"December 29, 1991","March 24, 1990","August 31, 1991","March 2, 1992","December 29, 1991"
"When was the Law ""On the State Language"", which granted the Uzbek language the status of the state language, adopted?","October 21, 1989","November 18, 1991","June 20, 1990","March 24, 1990","October 21, 1989"
How many principles of division is the system of state power in Uzbekistan based on?,3,2,5,4,3
"Which state symbol of the Republic of Uzbekistan was adopted on December 10, 1992?",national anthem,state emblem,Constitution,state flag,national anthem
"When was the national currency, the soum, introduced into circulation in the Republic of Uzbekistan?","July 1, 1994","December 8, 1992","November 18, 1991","July 2, 1992","July 1, 1994"
When did Uzbekistan become a member of the UN?,"March 2, 1992","November 18, 1991","June 2, 1992","December 8, 1992","March 2, 1992"
Which state body in Uzbekistan approves amendments to laws?,Oliy Majlis,Cabinet of Ministers,Ministry of Internal Affairs,Prosecutor's Office of the Republic,Oliy Majlis
When was the People's Democratic Party of Uzbekistan founded?,November 1991,February 1992,May 1994,September 1996,November 1991
At what age do citizens have the right to vote in Uzbekistan?,18,20,22,24,18
At what age do citizens have the right to vote in Uzbekistan?,18,20,22,24,18
Which international organization is Uzbekistan not a member of?,NATO,UN,SCO,CIS,NATO
Who was the Olympic champion in women's judo at the 2024 Paris Olympics?,Diyora Keldiyorova,Dilfuza Inoyatova,Laylo Abdiyeva,Nilufar Rakhmatova,Diyora Keldiyorova
"In May-June 1989, a clash between Uzbeks and representatives of which nationality occurred in Fergana?",Between Uzbeks and Meskhetian Turks,Between Uzbeks and Kyrgyz,Between Uzbeks and Tatars,No correct answer,Between Uzbeks and Meskhetian Turks
"Who was the founder of the ""Uzbek model"" of development?",I. Karimov,Sh. Rashidov,Sh. Mirziyoyev,A. Qodiriy,I. Karimov
The main direction of Uzbekistan's cooperation with UNESCO.,"education, science and culture",health and ecology,human rights protection,tourism,"education, science and culture"
When was the Shanghai Cooperation Organization founded?,2001,1996,1997,2003,2001
When was the SCO Samarkand Summit held in Uzbekistan?,2022,2010,2021,2020,2022
Which priority area of ​​the strategy of actions is to improve the state administration system?,Priority areas of improving the state and society building system,Development of the social sphere and administration of the Cabinet of Ministers and the Presidency,Ensuring the rule of law and further reforming the judicial system and the Oliy Majlis,"Ensuring security, interethnic harmony and religious tolerance, conducting a balanced, mutually beneficial and practical foreign policy",Priority areas of improving the state and society building system
"In what year was the pamphlet ""There is no future without historical memory"" published?",1998,1999,2000,2001,1998
Peaceful resolution of disputes in accordance with the Constitution and non-interference in the internal affairs of other states....,This principle is a principle of Uzbekistan's foreign policy,This is not a principle of Uzbekistan's foreign policy,This principle reflects Uzbekistan's role in the Central Asian region,This principle is a principle of Uzbekistan's internal policy,This principle is a principle of Uzbekistan's foreign policy
How many types of education are there according to the new Law on Education of Uzbekistan?,7,5,6,4,7
When was the referendum on the adoption of the new Constitution of the Republic of Uzbekistan held?,"April 30, 2023","September 24, 2023","December 8, 2023","January 1, 2023","April 30, 2023"
What are the main tasks of political parties in building a democratic civil society?,Representing and protecting the interests of citizens,Only participating in elections,Only solving economic issues,Only managing state power,Representing and protecting the interests of citizens
"When was the new Law of the Republic of Uzbekistan ""On Education"" adopted?","September 23, 2020","May 29, 1997","October 25, 2021","April 30, 2023","September 23, 2020"
When was the Governor-General of Turkestan established?,1867,1865,1876,1886,1867
"Who is the author of ""The City of Virtuous People""?",Abu Nasr Al-Farabi,Alisher Navoi,Abu Ali ibn Sina,Abu Rayhan Al-Biruni,Abu Nasr Al-Farabi
In which period did history falsify the past?,Soviet era,In antiquity,In the Middle Ages,In the period of independence,Soviet era
"As a result of the efforts of I. Usmonkhodjayev and R. Abdullayeva to avoid creating an ""ideological vacuum"", which holiday was abolished by 1986?",Navruz holiday,Victory holiday,Hayit holiday,Independence holiday,Navruz holiday
The judicial system in Uzbekistan ....,operates independently of the legislative and executive branches,operates independently of the legislative and local government authorities,operates independently and is not dependent on political parties,operates independently of local government authorities,operates independently of the legislative and executive branches
"How many articles does the Law ""On the State Independence of the Republic of Uzbekistan"" contain?",17,19,21,24,17
The second most sacred source in Islam after the Quran is ....,Hadith,Fiqh,Teachings,Wisdom,Hadith
In which cities of Uzbekistan are there statues of Amir Temur?,"In Samarkand, Tashkent and Shahrisabz","Samarkand, Tashkent and Termez","Samarkand, Tashkent and Kitab","Samarkand, Termez and Shahrisabz","In Samarkand, Tashkent and Shahrisabz"
The principle of separation of powers What bodies are formed according to the Constitution and laws?,"legislative, executive and judicial","local government, judicial","judicial, legislative","State Duma, local government","legislative, executive and judicial"
When was the presidential term of I. Karimov extended from 1997 to 2000 by a popular vote (referendum)?,"March 26, 1995","December 26, 1995","March 11, 1996","January 12, 1997","March 26, 1995"
Parliament is called differently in different countries. What is it called in Uzbekistan?,Oliy Majlis,Rada,Skupshina,Reichstag,Oliy Majlis
"Find the national government established in November 1917, which expressed the ideas of national liberation?",Turkestan autonomy,“Shu‘ra‘i ulama”,B) “Unity and Progress”,D) “Shu‘ra‘i Islam”,Turkestan autonomy
Which body exercises executive power in Uzbekistan?,Cabinet of Ministers,Khokimliks,Oliy Majlis,Senate,Cabinet of Ministers
Where was the first presidential government introduced in the world?,USA,Canada,France,Japan,USA
"Who was elected First Secretary of the Communist Party of Uzbekistan on June 23, 1989?",Islam Karimov,Shavkat Mirziyoyev,Sharof Rashidov,Rafiq Nishonov,Islam Karimov
"Who is the author of the idea that ""the people should serve the state bodies, not the state bodies""?",Shavkat Mirziyoyev,Islom Karimov,Sharof Rashidov,Rafiq Nishonov,Shavkat Mirziyoyev
"According to the results of the national referendum held on April 30, 2023…..",The new Constitution of the Republic of Uzbekistan was adopted,The Law of the New Uzbekistan on Education was adopted,The Labor Code of the New Uzbekistan was adopted,The Law of the New Uzbekistan on Political Parties was adopted,The new Constitution of the Republic of Uzbekistan was adopted
Which priority area of ​​the Strategy of Actions for the Further Development of the Republic of Uzbekistan in 2017-2021 is set to deepen democratic reforms and strengthen the role of the Oliy Majlis and political parties in modernizing the country?,Priority areas for improving the system of state and social development,Priority areas for political development to ensure stability in the country and in the Oliy Majlis,Priority areas for ensuring the rule of law and further reforming the judicial system,"Priority areas for the activities of political parties, development and liberalization of the economy.",Priority areas for improving the system of state and social development
When was the Liberal Democratic Party of Uzbekistan (UzLiDeP) founded?,2003,1995,2000,1996,2003
"What initiatives did the President of Uzbekistan Shavkat Mirziyoyev put forward in his speech at the 75th session of the UN General Assembly on September 23, 2020?","Initiatives to strengthen peace and stability in the region and the world, progressive development, and ensure human rights and freedoms","Initiatives to ensure consistent development, human rights and freedoms, and stability in the region","Initiatives to strengthen peace and stability in the region and the world, sustainable development of the world",Initiatives to improve the environment in Central Asia,"Initiatives to strengthen peace and stability in the region and the world, progressive development, and ensure human rights and freedoms"
Which of the answers is not part of the principles of Uzbekistan's foreign policy?,Joining military blocs and alliances,Sovereign equality,Non-interference in the internal affairs of other states,Peaceful resolution of disputes,Joining military blocs and alliances
What is the role of the state in economic reforms during the transition period?,deepening democratic reforms and further liberalizing the economy,increasing direct state intervention in economic activity,rejecting state regulation of the economy and strengthening economic management,transferring economic management to local authorities and strengthening their management,deepening democratic reforms and further liberalizing the economy
What is the name of the fourth area of ​​the Strategy of Actions on the five priority areas of development of Uzbekistan in 2017-2021?,priority areas of development of the social sphere,priority areas of development and liberalization of the economy,priority areas of improving the system of state and social construction,priority areas of ensuring the rule of law and further reform of the judicial system,priority areas of development of the social sphere
Which of the following countries does Uzbekistan not border?,Iran,Kyrgyzstan,Afghanistan,Turkmenistan,Iran
Why was the capture of Tashkent by the Russian Empire considered necessary?,Because this city was a key gateway for the conquest of Central Asia and served as a base for further Russian military operations.,"This city was the military center of the Kokand Khanate, and if it were captured, all the khanates would be militarily weakened.","This city was located on the border of the Kokand Khanate and the Emirate of Bukhara, on the main road leading to the Khiva Khanate.",This city was conveniently located on the water route to the Khiva Khanate.,Because this city was a key gateway for the conquest of Central Asia and served as a base for further Russian military operations.
How many principles does the “Uzbek model” consist of?,5,7,3,4,5
The Uzbekistan-2030 Strategy sets a target of increasing the GDP to … billion US dollars and per capita income to … thousand US dollars.,160/4,200/6,250/8,180/5,160/4
"Starting from the 2023/2024 academic year, … has been designated as a “base school” for general secondary education institutions.",Presidential schools and specialized schools,Vocational technical schools,Non-state educational institutions,Lyceums,Presidential schools and specialized schools
What is the ultimate goal of the strong social policy being pursued in Uzbekistan?,social protection of vulnerable segments of the population during the transition to a market economy,ensuring guaranteed social rights of all members of the population during the transition to a market economy,maintaining civil harmony in society during the transition to a market economy,instilling the ideology of national independence into the consciousness of the people during the transition to a market economy,social protection of vulnerable segments of the population during the transition to a market economy
One of the priority areas of which legal document is called “Saving water resources and protecting the environment”?,Uzbekistan-2030 Strategy,New Uzbekistan Development Strategy,Action Strategy,Ecological Code of Uzbekistan,Uzbekistan-2030 Strategy
"On June 22, 2024, specialized sports schools for … were established in Tashkent.",boxing and gymnastics,Boxing and football,Skiing and hockey,Golf and badminton,boxing and gymnastics
"When was the Law ""On Combating Corruption"" adopted in Uzbekistan?",2017,2018,2019,2020,2017
"In which article of the new Constitution of the Republic of Uzbekistan does the ""social"" status of the state be defined?",Article 1,Article 5,Article 11,Article 17,Article 1
The 550th anniversary of which scholar was celebrated in our country in 1991?,Alisher Navoi,Bobur,Mirzo Ulugbek,Al Ferghani,Alisher Navoi
Turin Polytechnic University in Tashkent was established in partnership with which country?,Italy,Great Britain,France,USA,Italy
How many nationalities live in Uzbekistan?,More than 130 nationalities,110 nationalities,90 nationalities,More than 100 nationalities,More than 130 nationalities
"How many sections did the Constitution of the Republic of Uzbekistan, adopted on December 8, 1992, consist of ?",6 sections,10 sections,12 sections,8 sections,6 sections
"What is the dictionary meaning of the geographical term ""Movaraunnahr""?",the other side of the river,Sandy land,Center of the desert,Border area,the other side of the river
"Where did the battle of 1365, known in history as the ""Battle of the Mud"", take place?",Between Chinaz and Tashkent,Between Chinaz and Turkestan,Between Chinaz and Syrdarya,Between Chinaz and Jizzakh,Between Chinaz and Tashkent
Who was the founder and initiator of the Jadid cultural and educational movement?,Ismoil Gasprinsky,Dukchi Eshon,Said Olimxon,Namoz Pirimkulov,Ismoil Gasprinsky
"Who led the ""Koschi"" peasant union in the 1920s?",Yoldosh Okhunboboev,Fayzulla Khodjaev,Usmon Yusupov,Turan Riskulov,Yoldosh Okhunboboev
When did Uzbekistan become a member of the Shanghai Cooperation Organization (SCO)?,2001.,1998.,2011.,2005.,2001.
"Supreme Soviet of the Uzbek SSR, March 24, 1990….",Introduced the position of the President,The Uzbek SSR adopted the Declaration of Independence,The Program of Sovereignty of the Republic of Uzbekistan was adopted,The Uzbek SSR adopted the Union Treaty,Introduced the position of the President
"Who coined the phrase ""Critical analysis, strict discipline, personal responsibility of each leader should become the daily norm of every leader""?",Shavkat Mirziyoyev,Islom Karimov,Amir Temur,Alisher Navoi,Shavkat Mirziyoyev
When was the decree “On the Strategy of Actions for the Further Development of the Republic of Uzbekistan” published?,"February 7, 2017.","May 24, 2018","June 30, 2016","February 7, 2016","February 7, 2017."
When was the Year of Amir Temur celebrated in Uzbekistan?,1996,1992,1998,2000,1996
Which political party in Uzbekistan has the main goal of achieving social justice?,Adolat Social Democratic Party,People's Democratic Party,Liberal Democratic Party,National Revival Party,Adolat Social Democratic Party
"Which city in Uzbekistan was declared the ""Capital of Islamic Culture"" in 2007?",Tashkent,Samarkand,Khiva,Kokand,Tashkent
"The unofficial ""fourth estate"" is .....",mass media,political parties,local government,civil associations,mass media
"When, at the initiative of the President of the Republic of Uzbekistan, a special resolution of the UN General Assembly “Enlightenment and Religious Tolerance” was adopted.",2018,2005,2001,2003,2018
The new Constitution of the Republic of Uzbekistan...,"Consists of 6 sections, 27 chapters and 155 articles","Consists of 6 sections, 26 chapters and 100 articles","Consists of 6 sections, 28 chapters and 150 articles","Consists of 6 sections, 25 chapters and 100 articles","Consists of 6 sections, 27 chapters and 155 articles"
"The ambiguities in the laws should be resolved in favor of the person, in this regard, the Constitution stipulates that a person cannot be detained for more than … hours without a court decision.",48 hours,28 hours,37 hours,24 hours,48 hours
Shavkat Mirziyoyev “When was the idea put forward about the need to improve the position of the Republic of Uzbekistan in international ratings and indices?,In the Address of the Head of State to the Oliy Majlis in 2018,At the event dedicated to the 30th anniversary of the Constitution of the Republic of Uzbekistan,At the 72nd session of the UN General Assembly,At the 72nd session of the UN General Assembly,In the Address of the Head of State to the Oliy Majlis in 2018
"The first automobile factory in Asaka, Andijan region, was established in partnership with which country?",South Korea,China,Turkey,Germany,South Korea
In which country was the Ombudsman institution first established?,Sweden,Denmark,USA,Finland,Sweden
Since when was the full pension payment introduced for working pensioners?,"January 1, 2019","September 1, 2018","May 1, 2020","June 1, 2022","January 1, 2019"
For which years is the Action Strategy intended?,2017-2021,2017-2019,2017-2020,2017-2022,2017-2021
"According to the results of the first presidential elections held on December 29, 1991, what percentage of voters voted for Islam Karimov?",86 percent,98 percent,65 percent,80 percent,86 percent
How many priority areas does the Action Strategy consist of?,5,3,6,2,5
How many articles of the new Constitution will be devoted to the education system and the status of teachers?,"50,51,52","49,53,54","37,38,39","60,61,64","50,51,52"
"Which year was declared the ""Year of Dialogue with the People and Human Interests""?",2017,2010,2012,2019,2017
"Which direction of the strategy of actions is called ""Further development and liberalization of the economy""?",3rd,2nd,4th,5th,3rd
In what year was the Virtual Reception of the Prime Minister of the Republic of Uzbekistan established?,In 2016,In 2014,In 2009,In 2019,In 2016
When did President Islam Karimov take his first presidential oath at the extraordinary 9th session of the Supreme Council?,"January 4, 1992","January 10, 1995","January 2, 1992",February 1992,"January 4, 1992"
When were the last presidential elections held in the Republic of Uzbekistan?,"July 9, 2023","January 10, 2023","January 2, 2023","January 12, 2023","July 9, 2023"
